Caso;Ocorrência;Atividade;Customer ID;Revenue;Costs;Pizza Type;Pizza Size;Customer Satisfaction;Cost Factor;Weekday;Daytime;Distribution Channel;Customer Location;Customer Type
3;03/05/2018 18:34:04;Approve order website;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:35:04;Receive order website;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:43:04;Call Customer;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:49:04;Start preparing pizza;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:50:04;Start baking pizza;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:51:04;Baking pizza ready;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:54:04;Plan route;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:54:04;Departure pizza;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 18:56:04;Pizza arrives at customer;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
3;03/05/2018 19:02:04;Payment customer;128;36;7;Salami;Medium;2;Chef 1;Sunday;12;TownExpress Inc. ;Munich District Four;Student
4;12/02/2018 22:52:02;Order at the counter (shop);242;5;8;Calzone;Small;4;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District One;Student
4;12/02/2018 22:53:02;Start preparing pizza;242;5;8;Calzone;Small;4;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District One;Student
4;12/02/2018 22:54:02;Start baking pizza;242;5;8;Calzone;Small;4;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District One;Student
4;12/02/2018 23:02:02;Baking pizza ready;242;5;8;Calzone;Small;4;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District One;Student
4;12/02/2018 23:03:02;Payment customer;242;5;8;Calzone;Small;4;Delivery Guy 2;Sunday;18;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:08:26;Start order website;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:16:26;Approve order website;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:16:26;Call Customer;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:16:26;Receive order website;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:17:26;Start preparing pizza;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:24:26;Start baking pizza;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:25:26;Baking pizza ready;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:26:26;Plan route;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:30:26;Departure pizza;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;06/02/2018 23:34:26;Pizza arrives at customer;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
5;07/02/2018 00:02:26;Payment customer;63;8;11;Salami;Small;3;Delivery Guy 2;Friday;12;BestOrder Inc.;Munich District One;Student
6;10/02/2018 16:14:28;Order at the counter (shop);101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
6;10/02/2018 16:17:28;Start preparing pizza;101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
6;10/02/2018 16:18:28;Start baking pizza;101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
6;10/02/2018 16:27:28;Baking pizza ready;101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
6;10/02/2018 16:28:28;Payment customer;101;10;5;Magherita;Large;3;Chef 1;Friday;11;BestOrder Inc.;Munich District Two;Adult
7;10/03/2018 09:13:20;Order by phone;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:15:20;Start preparing pizza;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:15:20;Call Customer;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:21:20;Start preparing pizza;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:24:20;Start baking pizza;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:26:20;Baking pizza ready;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:26:20;Plan route;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:30:20;Departure pizza;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 09:34:20;Pizza arrives at customer;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
7;10/03/2018 10:08:20;Payment customer;97;50;7;Speciale;Medium;0;Ingredients;Friday;16;Feedera SE;Munich District Five;Student
8;24/04/2018 12:13:48;Order at the counter (shop);280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
8;24/04/2018 12:14:48;Start preparing pizza;280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
8;24/04/2018 12:18:48;Start baking pizza;280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
8;24/04/2018 12:20:48;Payment customer;280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
8;24/04/2018 12:20:48;Baking pizza ready;280;50;9;Funghi;Large;4;Chef 1;Saturday;13;Deliveruu Inc.;Munich District Four;Student
9;04/07/2018 23:00:54;Start order website;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:04:54;Approve order website;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:05:54;Receive order website;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:07:54;Call Customer;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:08:54;Start baking pizza;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:08:54;Start preparing pizza;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:10:54;Plan route;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:10:54;Baking pizza ready;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:14:54;Departure pizza;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:18:54;Pizza arrives at customer;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
9;04/07/2018 23:48:54;Payment customer;154;29;37;Salami;Small;3;Ingredients;Thursday;13;Deliveruu Inc.;Munich District One;Student
10;31/01/2018 08:07:48;Order by phone;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:08:48;Start preparing pizza;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:12:48;Start baking pizza;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:19:48;Baking pizza ready;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:20:48;Start preparing pizza;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:24:48;Start baking pizza;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:32:48;Baking pizza ready;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:39:48;Plan route;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:42:48;Departure pizza;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:51:48;Pizza arrives at customer;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
10;31/01/2018 08:55:48;Payment customer;182;29;2;Calzone;Small;2;Phone Bill;Sunday;12;Feedera SE;Munich District Two;Student
11;17/06/2018 23:36:17;Order by phone;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;17/06/2018 23:39:17;Start preparing pizza;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;17/06/2018 23:47:17;Call Customer;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;17/06/2018 23:52:17;Start preparing pizza;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;17/06/2018 23:58:17;Start baking pizza;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;18/06/2018 00:06:17;Baking pizza ready;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;18/06/2018 00:07:17;Plan route;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;18/06/2018 00:08:17;Departure pizza;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;18/06/2018 00:14:17;Pizza arrives at customer;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
11;18/06/2018 00:39:17;Payment customer;287;9;2;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District One;Senior
12;04/04/2018 16:06:22;Order at the counter (shop);148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
12;04/04/2018 16:07:22;Start preparing pizza;148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
12;04/04/2018 16:10:22;Start baking pizza;148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
12;04/04/2018 16:15:22;Baking pizza ready;148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
12;04/04/2018 16:16:22;Payment customer;148;5;11;Funghi;Small;3;Chef 1;Sunday;14;BestOrder Inc.;Munich District Three;Teenager
13;23/04/2018 19:40:14;Order by phone;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 19:40:14;Start preparing pizza;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 19:46:14;Start baking pizza;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 19:49:14;Baking pizza ready;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 19:54:14;Plan route;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 19:55:14;Departure pizza;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 20:04:14;Pizza arrives at customer;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
13;23/04/2018 20:13:14;Payment customer;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
14;12/04/2018 09:00:26;Order by phone;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:03:26;Start preparing pizza;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:07:26;Start baking pizza;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:20:26;Baking pizza ready;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:29:26;Start preparing pizza;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:30:26;Start baking pizza;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:40:26;Baking pizza ready;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:46:26;Plan route;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:50:26;Departure pizza;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 09:56:26;Pizza arrives at customer;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
14;12/04/2018 10:22:26;Payment customer;164;21;50;Salami;Small;1;Waiter;Friday;12;Deliver Now Holding;Munich District One;Teenager
16;12/06/2018 15:38:46;Order by phone;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 15:39:46;Start preparing pizza;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 15:44:46;Start baking pizza;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 15:50:46;Baking pizza ready;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 15:51:46;Plan route;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 15:53:46;Departure pizza;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 16:00:46;Pizza arrives at customer;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
16;12/06/2018 16:08:46;Payment customer;218;20;10;Salami;Medium;3;Chef 1;Saturday;14;BestOrder Inc.;Munich District One;Student
17;01/03/2018 16:25:00;Order by phone;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:25:00;Start preparing pizza;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:27:00;Start baking pizza;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:37:00;Baking pizza ready;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:40:00;Plan route;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:44:00;Departure pizza;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 16:52:00;Pizza arrives at customer;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
17;01/03/2018 17:28:00;Payment customer;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
18;26/03/2018 22:42:13;Order by phone;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 22:43:13;Start preparing pizza;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 22:50:13;Start baking pizza;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:10:13;Baking pizza ready;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:17:13;Start preparing pizza;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:23:13;Start baking pizza;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:32:13;Baking pizza ready;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:39:13;Departure pizza;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:39:13;Plan route;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:44:13;Pizza arrives at customer;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
18;26/03/2018 23:48:13;Payment customer;3;21;10;Salami;Small;0;Delivery Guy 2;Friday;12;Deliver Now Holding;Munich District Three;Student
19;29/03/2018 01:10:52;Order by phone;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:13:52;Start preparing pizza;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:19:52;Call Customer;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:19:52;Start preparing pizza;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:21:52;Start baking pizza;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:31:52;Baking pizza ready;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:34:52;Plan route;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:37:52;Pizza arrives at customer;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 01:37:52;Departure pizza;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
19;29/03/2018 02:02:52;Payment customer;128;20;13;Salami;Small;0;Chef 2;Saturday;14;Heropizza Lmtd.;Munich District Two;Adult
20;28/04/2018 23:54:51;Start order website;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:02:51;Approve order website;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:02:51;Receive order website;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:10:51;Start preparing pizza;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:14:51;Start baking pizza;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:22:51;Start preparing pizza;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:24:51;Start baking pizza;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:37:51;Baking pizza ready;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:40:51;Plan route;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:42:51;Departure pizza;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 00:51:51;Pizza arrives at customer;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
20;29/04/2018 01:22:51;Payment customer;159;49;20;Speciale;Small;1;Ingredients;Sunday;20;BestOrder Inc.;Munich District One;Student
21;01/04/2018 20:47:12;Start order website;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 20:53:12;Approve order website;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 20:53:12;Receive order website;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 20:57:12;Call Customer;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 20:57:12;Payment via credit card;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 21:00:12;Start preparing pizza;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
21;01/04/2018 21:03:12;Start baking pizza;74;29;8;Salami;Small;5;Chef 2;Sunday;19;Feedera SE;Munich District Four;Student
22;15/04/2018 19:40:14;Start preparing pizza;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 19:40:14;Order by phone;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 19:45:14;Start baking pizza;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 19:47:14;Baking pizza ready;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 19:55:14;Start preparing pizza;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 19:58:14;Start baking pizza;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 20:02:14;Baking pizza ready;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 20:08:14;Plan route;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 20:09:14;Departure pizza;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 20:15:14;Pizza arrives at customer;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
22;15/04/2018 20:32:14;Payment customer;222;11;20;Magherita;Small;1;Ingredients;Friday;17;Feedera SE;Munich District One;Student
24;05/06/2018 05:38:08;Order by phone;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
24;05/06/2018 05:40:08;Start preparing pizza;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
24;05/06/2018 05:42:08;Start baking pizza;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
24;05/06/2018 05:49:08;Baking pizza ready;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
24;05/06/2018 05:51:08;Plan route;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
24;05/06/2018 05:55:08;Departure pizza;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
